category,name,description,price,badge,image,image_alt,image_page
Cold Drinks,Cold Brew,"Coarse-ground beans steeped cold for 18 hours, smooth and low-acid.",4.50,House Favorite,/images/pexels-34170574.webp,A glass pitcher and a small glass of cold brew coffee beside green leaves,https://www.pexels.com/photo/minimalist-iced-coffee-with-glass-pitcher-and-leaves-34170574/
Cold Drinks,Iced Latte,"Espresso poured over ice and cold milk.",4.95,,/images/pexels-10540639.webp,Milk being poured into a tall glass of iced coffee,https://www.pexels.com/photo/milk-being-poured-into-iced-coffee-in-tall-glass-on-dark-background-10540639/
Cold Drinks,Midnight Mocha Frappé,"Extra-dark cocoa blended with coffee and ice, topped with whipped cream and cocoa dust.",6.25,Popular,/images/pexels-1684880.webp,A blended chocolate coffee drink in a glass with a striped paper straw,https://www.pexels.com/photo/clear-glass-cup-filled-with-chocolate-cream-1684880/
Cold Drinks,Strawberries & Cream Frappé,"Blended strawberry purée, milk, and ice, topped with whipped cream and a fresh strawberry.",6.50,,/images/pexels-10066814.webp,A tall pink strawberry frappé topped with whipped cream and a fresh strawberry,https://www.pexels.com/photo/a-glass-of-strawberry-milkshake-with-a-piece-of-strawberry-on-top-10066814/
Cold Drinks,Caramel Ribbon Frappé,"Coffee blended with caramel and ice, finished with whipped cream and a caramel ribbon.",6.50,Popular,/images/pexels-6896001.webp,Two blended caramel coffee drinks with striped straws splashing over the rim,https://www.pexels.com/photo/iced-coffee-in-glass-cups-6896001/
Cold Drinks,Matcha Green Tea Latte,"Stone-ground matcha whisked with cold milk over ice.",5.25,,/images/pexels-29156485.webp,An iced matcha latte in a short glass on a pale table,https://www.pexels.com/photo/refreshing-iced-matcha-latte-on-a-table-29156485/
Cold Drinks,Strawberry Smoothie,"Strawberries, banana, and oat milk blended with ice.",5.75,,/images/pexels-103566.webp,A pink strawberry smoothie in a tall glass with a striped straw and fresh strawberries,https://www.pexels.com/photo/strawberry-shake-103566/
Pastries,Butter Croissant,"Laminated dough, baked fresh each morning until golden and flaky.",3.50,,/images/pexels-19296861.webp,A golden flaky croissant on a wooden board,https://www.pexels.com/photo/delicious-croissant-in-close-up-view-19296861/
Pastries,Almond Croissant,"Butter croissant filled and topped with almond cream, finished with sliced almonds.",4.25,Popular,/images/pexels-20179572.webp,Croissants dusted with powdered sugar and topped with chopped nuts,https://www.pexels.com/photo/croissants-with-peanut-butter-filling-20179572/
Pastries,Cinnamon Roll,"Soft yeasted roll swirled with cinnamon sugar and finished with cream cheese icing.",4.50,House Favorite,/images/pexels-3434526.webp,A baking tray of cinnamon rolls drizzled with icing,https://www.pexels.com/photo/tray-of-cinnamon-3434526/
Pastries,Blueberry Muffin,"Studded with fresh blueberries and topped with a crunchy sugar crust.",3.75,,/images/pexels-7935281.webp,Blueberry muffins cooling on a wire rack,https://www.pexels.com/photo/close-up-of-blueberry-muffins-7935281/
Pastries,Banana Walnut Bread,"Moist banana bread loaded with toasted walnuts, sliced to order.",3.95,,/images/pexels-5419302.webp,Thick slices of banana bread,https://www.pexels.com/photo/closeup-of-banana-bread-5419302/
Sandwiches,Turkey & Swiss on Sourdough,"Roasted turkey, Swiss cheese, greens, and whole grain mustard on toasted sourdough.",8.95,,/images/pexels-6416558.webp,"Two halves of a toasted sourdough sandwich layered with sliced meat, cheese and greens",https://www.pexels.com/photo/a-close-up-shot-of-delicious-sandwiches-6416558/
Sandwiches,Caprese Croissant,"Fresh mozzarella, tomato, basil, and a drizzle of balsamic in a butter croissant.",8.50,Popular,/images/pexels-30893050.webp,"A croissant sandwich filled with mozzarella, tomato, lettuce and balsamic glaze",https://www.pexels.com/photo/delicious-caprese-sandwich-on-croissant-30893050/
Sandwiches,Avocado Toast,"Smashed avocado, lemon, chili flake, and flaky salt on toasted multigrain.",7.95,House Favorite,/images/pexels-31126255.webp,Smashed avocado toast topped with chili flakes and lemon slices,https://www.pexels.com/photo/delicious-avocado-toast-with-lemon-slices-31126255/
Sandwiches,Morning Plate,"A fried egg, sliced cheddar, avocado, and toasted rye, with a handful of walnuts.",8.25,,/images/pexels-19559056.webp,"A breakfast plate with a fried egg, cheese slices, avocado, rye toast and walnuts",https://www.pexels.com/photo/healthy-breakfast-with-fried-egg-and-bread-19559056/
